cycle,pc_f,fetch0,fetch1,decode0,decode1,issue0,issue1,exec0,exec1,result0,result1,branch_taken0,branch_taken1,jump_taken0,jump_taken1,branch_target0,branch_target1,jump_target0,jump_target1,mem0_re,mem0_we,mem1_re,mem1_we,mem_addr0,mem_addr1,fwd_rs1_0_en,fwd_rs2_0_en,fwd_rs1_1_src,fwd_rs2_1_src,stall_if_id,busy_vec,load_pending_vec
97,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
98,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
99,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
100,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
101,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
102,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
103,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
104,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
105,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
106,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
107,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
108,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
109,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
110,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
111,xx,xx,xx,xx,xx,1,x,xx,00000013,xx,xx,0,0,0,0,xx,00000000,xx,00000000,0,0,0,0,xx,00000000,0,0,0,0,0,00000000,00000000
